가로등위치명,위도,경도
전동면 노장리 609-9,36.6526721,127.2685255
세종특별자치시 대평동 574-2,36.4699468,127.2691494
전동면 노장리 609-9,36.6547516,127.2681479
세종특별자치시 대평동 574-2,36.4694872,127.2689554
연기면 산울리 141-3,36.5293095,127.264695
세종특별자치시 대평동 574-2,36.4677358,127.2678234
세종특별자치시 소담동 283-2,36.4905276,127.2987903
세종특별자치시 대평동 574-2,36.4708888,127.2698948
세종특별자치시 소담동 283-2,36.4903195,127.2986582
세종특별자치시 대평동 574-2,36.4693035,127.2691885
세종특별자치시 소담동 283-2,36.4900752,127.298493
세종특별자치시 대평동 574-2,36.4679211,127.2672586
세종특별자치시 소담동 283-2,36.4898128,127.2983056
세종특별자치시 대평동 574-2,36.4680364,127.2669077
세종특별자치시 소담동 283-2,36.4892611,127.2979869
세종특별자치시 대평동 574-2,36.4678289,127.2675455
세종특별자치시 소담동 283-2,36.4890622,127.2978771
세종특별자치시 대평동 574-2,36.4705398,127.2697486
세종특별자치시 소담동 283-2,36.4888633,127.2977672
세종특별자치시 대평동 574-2,36.46775,127.2681463
세종특별자치시 소담동 283-2,36.4885204,127.2976922
세종특별자치시 대평동 574-2,36.4681083,127.2683006
세종특별자치시 소담동 283-2,36.4882672,127.2975382
세종특별자치시 대평동 574-2,36.4684342,127.2684542
세종특별자치시 소담동 283-2,36.4881398,127.2973385
세종특별자치시 대평동 574-2,36.4701761,127.2695749
세종특별자치시 소담동 283-2,36.4878776,127.2971958
세종특별자치시 대평동 574-2,36.4690761,127.2687435
세종특별자치시 소담동 283-2,36.4901543,127.2981463
세종특별자치시 대평동 574-2,36.4687659,127.2686151
세종특별자치시 소담동 283-2,36.4903262,127.2982675
세종특별자치시 대평동 574-2,36.4697092,127.2693678
세종특별자치시 소담동 283-2,36.4904982,127.2983887
세종특별자치시 대평동 574-2,36.4688522,127.2689702
세종특별자치시 소담동 283-2,36.4906701,127.2985099
세종특별자치시 대평동 574-2,36.4684801,127.2687964
세종특별자치시 소담동 283-2,36.490851,127.2986199
세종특별자치시 대평동 574-2,36.4681395,127.2686504
